,2,0.12225E+04,0.81089E-01,0.43630E+01,0.10829E+07,0.34391E+05
,3,0.11374E+04,0.16338E+00,0.60501E+01,0.16668E+07,0.40994E+05
,4,0.10551E+04,0.22883E+00,0.67671E+01,0.21837E+07,0.44211E+05
,5,0.98844E+03,0.25891E+00,0.67926E+01,0.26395E+07,0.45606E+05
,6,0.93678E+03,0.25076E+00,0.64032E+01,0.30410E+07,0.45956E+05
,7,0.89810E+03,0.21361E+00,0.57813E+01,0.33964E+07,0.45717E+05
,8,0.86972E+03,0.16226E+00,0.50417E+01,0.37121E+07,0.45080E+05
,9,0.84938E+03,0.11087E+00,0.42765E+01,0.39939E+07,0.44137E+05
,10,0.83552E+03,0.69179E-01,0.35536E+01,0.42457E+07,0.42980E+05
,11,0.82711E+03,0.41681E-01,0.29064E+01,0.44717E+07,0.41743E+05
,12,0.82383E+03,0.26151E-01,0.23557E+01,0.46748E+07,0.40505E+05
,13,0.82345E+03,0.19543E-01,0.19104E+01,0.48577E+07,0.39315E+05
,14,0.82505E+03,0.18297E-01,0.15812E+01,0.50223E+07,0.38174E+05
,15,0.82882E+03,0.19085E-01,0.13780E+01,0.51706E+07,0.37068E+05
,16,0.83499E+03,0.19304E-01,0.13023E+01,0.53043E+07,0.35986E+05
,17,0.84322E+03,0.18814E-01,0.13207E+01,0.54247E+07,0.34931E+05
,18,0.85236E+03,0.17849E-01,0.13950E+01,0.55330E+07,0.33909E+05
,19,0.86345E+03,0.16532E-01,0.14950E+01,0.56303E+07,0.32924E+05
,20,0.87496E+03,0.15073E-01,0.15907E+01,0.57179E+07,0.31984E+05
,21,0.88699E+03,0.13796E-01,0.16631E+01,0.57967E+07,0.31091E+05
,22,0.89956E+03,0.12869E-01,0.17117E+01,0.58674E+07,0.30245E+05
,23,0.91246E+03,0.12423E-01,0.17424E+01,0.59304E+07,0.29442E+05
,24,0.92574E+03,0.12533E-01,0.17616E+01,0.59862E+07,0.28678E+05
,25,0.93939E+03,0.13183E-01,0.17748E+01,0.60354E+07,0.27951E+05
,26,0.95325E+03,0.14285E-01,0.17878E+01,0.60783E+07,0.27257E+05
,27,0.96747E+03,0.15738E-01,0.18017E+01,0.61155E+07,0.26593E+05
,28,0.98182E+03,0.17470E-01,0.18172E+01,0.61474E+07,0.25956E+05
,29,0.99642E+03,0.19437E-01,0.18350E+01,0.61746E+07,0.25342E+05
,30,0.10113E+04,0.21610E-01,0.18534E+01,0.61974E+07,0.24749E+05
,31,0.10262E+04,0.23958E-01,0.18709E+01,0.62164E+07,0.24173E+05
